crim,zn,indus,nox,rm,age,dis,rad,tax,black,lstat,ptratio,medv
0.0187,85.0,4.15,0.429,6.516,27.7,8.5353,4.0,351.0,392.43,6.36,17.9,23.1
88.9762,0.0,18.1,0.671,6.968,91.9,1.4165,24.0,666.0,396.9,17.21,20.2,10.4
0.06211,40.0,1.25,0.429,6.49,44.4,8.7921,1.0,335.0,396.9,5.98,19.7,22.9
0.04301,80.0,1.91,0.413,5.663,21.9,10.5857,4.0,334.0,382.8,8.05,22.0,18.2
0.19073,22.0,5.86,0.431,6.718,17.5,7.8265,7.0,330.0,393.74,6.56,19.1,26.2
5.87205,0.0,18.1,0.693,6.405,96.0,1.6768,24.0,666.0,396.9,19.37,20.2,12.5
0.32264,0.0,21.89,0.624,5.942,93.5,1.9669,4.0,437.0,378.25,16.9,21.2,17.4
0.03584,80.0,3.37,0.398,6.29,17.8,6.6115,4.0,337.0,396.9,4.67,16.1,23.5
7.02259,0.0,18.1,0.718,6.006,95.3,1.8746,24.0,666.0,319.98,15.7,20.2,14.2
0.6718,0.0,18.1,0.74,6.459,94.8,1.9879,24.0,666.0,43.06,23.98,20.2,11.8
0.1415,0.0,6.91,0.448,6.169,6.6,5.7209,3.0,233.0,383.37,5.81,17.9,25.3
0.1146,20.0,6.96,0.464,6.538,58.7,3.9175,3.0,223.0,394.96,7.73,18.6,24.4
4.42228,0.0,18.1,0.584,6.003,94.5,2.5403,24.0,666.0,331.29,21.32,20.2,19.1
8.79212,0.0,18.1,0.584,5.565,70.6,2.0635,24.0,666.0,3.65,17.16,20.2,11.7
37.6619,0.0,18.1,0.679,6.202,78.7,1.8629,24.0,666.0,18.82,14.52,20.2,10.9
7.40389,0.0,18.1,0.597,5.617,97.9,1.4547,24.0,666.0,314.64,26.4,20.2,17.2
0.05372,0.0,13.92,0.437,6.549,51.0,5.9604,4.0,289.0,392.85,7.39,16.0,27.1
11.8123,0.0,18.1,0.718,6.824,76.5,1.794,24.0,666.0,48.45,22.74,20.2,8.4
0.24522,0.0,9.9,0.544,5.782,71.7,4.0317,4.0,304.0,396.9,15.94,18.4,19.8
0.08244,30.0,4.93,0.428,6.481,18.5,6.1899,6.0,300.0,379.41,6.36,16.6,23.7
0.24103,0.0,7.38,0.493,6.083,43.7,5.4159,5.0,287.0,396.9,12.79,19.6,22.2
8.20058,0.0,18.1,0.713,5.936,80.3,2.7792,24.0,666.0,3.5,16.94,20.2,13.5
0.03705,20.0,3.33,0.4429,6.968,37.2,5.2447,5.0,216.0,392.23,4.59,14.9,35.4
7.36711,0.0,18.1,0.679,6.193,78.1,1.9356,24.0,666.0,96.73,21.52,20.2,11.0
19.6091,0.0,18.1,0.671,7.313,97.9,1.3163,24.0,666.0,396.9,13.44,20.2,15.0
1.22358,0.0,19.58,0.605,6.943,97.4,1.8773,5.0,403.0,363.43,4.59,14.7,41.3
1.12658,0.0,19.58,0.871,5.012,88.0,1.6102,5.0,403.0,343.28,12.12,14.7,15.3
0.07503,33.0,2.18,0.472,7.42,71.9,3.0992,7.0,222.0,396.9,6.47,18.4,33.4
0.03113,0.0,4.39,0.442,6.014,48.5,8.0136,3.0,352.0,385.64,10.53,18.8,17.5
9.18702,0.0,18.1,0.7,5.536,100.0,1.5804,24.0,666.0,396.9,23.6,20.2,11.3
1.46336,0.0,19.58,0.605,7.489,90.8,1.9709,5.0,403.0,374.43,1.73,14.7,50.0
0.2909,0.0,21.89,0.624,6.174,93.6,1.6119,4.0,437.0,388.08,24.16,21.2,14.0
0.19186,0.0,7.38,0.493,6.431,14.7,5.4159,5.0,287.0,393.68,5.08,19.6,24.6
0.77299,0.0,8.14,0.538,6.495,94.4,4.4547,4.0,307.0,387.94,12.8,21.0,18.4
0.13262,0.0,8.56,0.52,5.851,96.7,2.1069,5.0,384.0,394.05,16.47,20.9,19.5
25.0461,0.0,18.1,0.693,5.987,100.0,1.5888,24.0,666.0,396.9,26.77,20.2,5.6
0.19133,22.0,5.86,0.431,5.605,70.2,7.9549,7.0,330.0,389.13,18.46,19.1,18.5
0.84054,0.0,8.14,0.538,5.599,85.7,4.4546,4.0,307.0,303.42,16.51,21.0,13.9
0.02498,0.0,1.89,0.518,6.54,59.7,6.2669,1.0,422.0,389.96,8.65,15.9,16.5
4.22239,0.0,18.1,0.77,5.803,89.0,1.9047,24.0,666.0,353.04,14.64,20.2,16.8
5.69175,0.0,18.1,0.583,6.114,79.8,3.5459,24.0,666.0,392.68,14.98,20.2,19.1
0.13158,0.0,10.01,0.547,6.176,72.5,2.7301,6.0,432.0,393.3,12.04,17.8,21.2
0.04684,0.0,3.41,0.489,6.417,66.1,3.0923,2.0,270.0,392.18,8.81,17.8,22.6
0.13587,0.0,10.59,0.489,6.064,59.1,4.2392,4.0,277.0,381.32,14.66,18.6,24.4
8.98296,0.0,18.1,0.77,6.212,97.4,2.1222,24.0,666.0,377.73,17.6,20.2,17.8
0.09512,0.0,12.83,0.437,6.286,45.0,4.5026,5.0,398.0,383.23,8.94,18.7,21.4
0.10008,0.0,2.46,0.488,6.563,95.6,2.847,3.0,193.0,396.9,5.68,17.8,32.5
0.12579,45.0,3.44,0.437,6.556,29.1,4.5667,5.0,398.0,382.84,4.56,15.2,29.8
0.06047,0.0,2.46,0.488,6.153,68.8,3.2797,3.0,193.0,387.11,13.15,17.8,29.6
8.49213,0.0,18.1,0.584,6.348,86.1,2.0527,24.0,666.0,83.45,17.64,20.2,14.5
0.09103,0.0,2.46,0.488,7.155,92.2,2.7006,3.0,193.0,394.12,4.82,17.8,37.9
38.3518,0.0,18.1,0.693,5.453,100.0,1.4896,24.0,666.0,396.9,30.59,20.2,5.0
0.07165,0.0,25.65,0.581,6.004,84.1,2.1974,2.0,188.0,377.67,14.27,19.1,20.3
0.17004,12.5,7.87,0.524,6.004,85.9,6.5921,5.0,311.0,386.71,17.1,15.2,18.9
8.64476,0.0,18.1,0.693,6.193,92.6,1.7912,24.0,666.0,396.9,15.17,20.2,13.8
0.0536,21.0,5.64,0.439,6.511,21.1,6.8147,4.0,243.0,396.9,5.28,16.8,25.0
0.02899,40.0,1.25,0.429,6.939,34.5,8.7921,1.0,335.0,389.85,5.89,19.7,26.6
0.12269,0.0,6.91,0.448,6.069,40.0,5.7209,3.0,233.0,389.39,9.55,17.9,21.2
0.13914,0.0,4.05,0.51,5.572,88.5,2.5961,5.0,296.0,396.9,14.69,16.6,23.1
0.05302,0.0,3.41,0.489,7.079,63.1,3.4145,2.0,270.0,396.06,5.7,17.8,28.7
0.04337,21.0,5.64,0.439,6.115,63.0,6.8147,4.0,243.0,393.97,9.43,16.8,20.5
0.02763,75.0,2.95,0.428,6.595,21.8,5.4011,3.0,252.0,395.63,4.32,18.3,30.8
0.14455,12.5,7.87,0.524,6.172,96.1,5.9505,5.0,311.0,396.9,19.15,15.2,27.1
0.05479,33.0,2.18,0.472,6.616,58.1,3.37,7.0,222.0,393.36,8.93,18.4,28.4
5.66998,0.0,18.1,0.631,6.683,96.8,1.3567,24.0,666.0,375.33,3.73,20.2,50.0
0.12932,0.0,13.92,0.437,6.678,31.1,5.9604,4.0,289.0,396.9,6.27,16.0,28.6
0.04527,0.0,11.93,0.573,6.12,76.7,2.2875,1.0,273.0,396.9,9.08,21.0,20.6
0.04819,80.0,3.64,0.392,6.108,32.0,9.2203,1.0,315.0,392.89,6.57,16.4,21.9
0.10612,30.0,4.93,0.428,6.095,65.1,6.3361,6.0,300.0,394.62,12.4,16.6,20.1
0.06076,0.0,11.93,0.573,6.976,91.0,2.1675,1.0,273.0,396.9,5.64,21.0,23.9
0.08308,0.0,2.46,0.488,5.604,89.8,2.9879,3.0,193.0,391.0,13.98,17.8,26.4
0.10574,0.0,27.74,0.609,5.983,98.8,1.8681,4.0,711.0,390.11,18.07,20.1,13.6
11.0874,0.0,18.1,0.718,6.411,100.0,1.8589,24.0,666.0,318.75,15.02,20.2,16.7
0.08199,0.0,13.92,0.437,6.009,42.3,5.5027,4.0,289.0,396.9,10.4,16.0,21.7
0.04417,70.0,2.24,0.4,6.871,47.4,7.8278,5.0,358.0,390.86,6.07,14.8,24.8
0.17899,0.0,9.69,0.585,5.67,28.8,2.7986,6.0,391.0,393.29,17.6,19.2,23.1
0.09849,0.0,25.65,0.581,5.879,95.8,2.0063,2.0,188.0,379.38,17.58,19.1,18.8
3.67822,0.0,18.1,0.77,5.362,96.2,2.1036,24.0,666.0,380.79,10.19,20.2,20.8
0.44791,0.0,6.2,0.507,6.726,66.5,3.6519,8.0,307.0,360.2,8.05,17.4,29.0
0.19539,0.0,10.81,0.413,6.245,6.2,5.2873,4.0,305.0,377.17,7.54,19.2,23.4
0.03445,82.5,2.03,0.415,6.162,38.4,6.27,2.0,348.0,393.77,7.43,14.7,24.1
8.71675,0.0,18.1,0.693,6.471,98.8,1.7257,24.0,666.0,391.98,17.12,20.2,13.1
1.42502,0.0,19.58,0.871,6.51,100.0,1.7659,5.0,403.0,364.31,7.39,14.7,23.3
17.8667,0.0,18.1,0.671,6.223,100.0,1.3861,24.0,666.0,393.74,21.78,20.2,10.2
6.65492,0.0,18.1,0.713,6.317,83.0,2.7344,24.0,666.0,396.9,13.99,20.2,19.5
0.07896,0.0,12.83,0.437,6.273,6.0,4.2515,5.0,398.0,394.92,6.78,18.7,24.1
9.33889,0.0,18.1,0.679,6.38,95.6,1.9682,24.0,666.0,60.72,24.08,20.2,9.5
7.52601,0.0,18.1,0.713,6.417,98.3,2.185,24.0,666.0,304.21,19.31,20.2,13.0
9.2323,0.0,18.1,0.631,6.216,100.0,1.1691,24.0,666.0,366.15,9.53,20.2,50.0
2.77974,0.0,19.58,0.871,4.903,97.8,1.3459,5.0,403.0,396.9,29.29,14.7,11.8
0.3494,0.0,9.9,0.544,5.972,76.7,3.1025,4.0,304.0,396.24,9.97,18.4,20.3
2.33099,0.0,19.58,0.871,5.186,93.8,1.5296,5.0,403.0,356.99,28.32,14.7,17.8
4.26131,0.0,18.1,0.77,6.112,81.3,2.5091,24.0,666.0,390.74,12.67,20.2,22.6
9.72418,0.0,18.1,0.74,6.406,97.2,2.0651,24.0,666.0,385.96,19.52,20.2,17.1
3.53501,0.0,19.58,0.871,6.152,82.6,1.7455,5.0,403.0,88.01,15.02,14.7,15.6
6.53876,0.0,18.1,0.631,7.016,97.5,1.2024,24.0,666.0,392.05,2.96,20.2,50.0
5.82401,0.0,18.1,0.532,6.242,64.7,3.4242,24.0,666.0,396.9,10.74,20.2,23.0
5.73116,0.0,18.1,0.532,7.061,77.0,3.4106,24.0,666.0,395.28,7.01,20.2,25.0
0.05735,0.0,4.49,0.449,6.63,56.1,4.4377,3.0,247.0,392.3,6.53,18.5,26.6
0.29819,0.0,6.2,0.504,7.686,17.0,3.3751,8.0,307.0,377.51,3.92,17.4,46.7
0.26169,0.0,9.9,0.544,6.023,90.4,2.834,4.0,304.0,396.3,11.72,18.4,19.4
0.11132,0.0,27.74,0.609,5.983,83.5,2.1099,4.0,711.0,396.9,13.35,20.1,20.1
0.82526,20.0,3.97,0.647,7.327,94.5,2.0788,5.0,264.0,393.42,11.25,13.0,31.0
6.44405,0.0,18.1,0.584,6.425,74.8,2.2004,24.0,666.0,97.95,12.03,20.2,16.1
9.51363,0.0,18.1,0.713,6.728,94.1,2.4961,24.0,666.0,6.68,18.71,20.2,14.9
0.05602,0.0,2.46,0.488,7.831,53.6,3.1992,3.0,193.0,392.63,4.45,17.8,50.0
0.12757,30.0,4.93,0.428,6.393,7.8,7.0355,6.0,300.0,374.71,5.19,16.6,23.7
9.32909,0.0,18.1,0.713,6.185,98.7,2.2616,24.0,666.0,396.9,18.13,20.2,14.1
0.05646,0.0,12.83,0.437,6.232,53.7,5.0141,5.0,398.0,386.4,12.34,18.7,21.2
9.96654,0.0,18.1,0.74,6.485,100.0,1.9784,24.0,666.0,386.73,18.85,20.2,15.4
0.01709,90.0,2.02,0.41,6.728,36.1,12.1265,5.0,187.0,384.46,4.5,17.0,30.1
1.15172,0.0,8.14,0.538,5.701,95.0,3.7872,4.0,307.0,358.77,18.35,21.0,13.1
0.03537,34.0,6.09,0.433,6.59,40.4,5.4917,7.0,329.0,395.75,9.5,16.1,22.0
0.13058,0.0,10.01,0.547,5.872,73.1,2.4775,6.0,432.0,338.63,15.37,17.8,20.4
0.59005,0.0,21.89,0.624,6.372,97.9,2.3274,4.0,437.0,385.76,11.12,21.2,23.0
1.20742,0.0,19.58,0.605,5.875,94.6,2.4259,5.0,403.0,292.29,14.43,14.7,17.4
0.06151,0.0,5.19,0.515,5.968,58.5,4.8122,5.0,224.0,396.9,9.29,20.2,18.7
0.04113,25.0,4.86,0.426,6.727,33.5,5.4007,4.0,281.0,396.9,5.29,19.0,28.0
0.01381,80.0,0.46,0.422,7.875,32.0,5.6484,4.0,255.0,394.23,2.97,14.4,50.0
14.0507,0.0,18.1,0.597,6.657,100.0,1.5275,24.0,666.0,35.05,21.22,20.2,17.2
0.03871,52.5,5.32,0.405,6.209,31.3,7.3172,6.0,293.0,396.9,7.14,16.6,23.2
3.8497,0.0,18.1,0.77,6.395,91.0,2.5052,24.0,666.0,391.34,13.27,20.2,21.7
8.15174,0.0,18.1,0.7,5.39,98.9,1.7281,24.0,666.0,396.9,20.85,20.2,11.5
0.26363,0.0,8.56,0.52,6.229,91.2,2.5451,5.0,384.0,391.23,15.55,20.9,19.4
3.1636,0.0,18.1,0.655,5.759,48.2,3.0665,24.0,666.0,334.4,14.13,20.2,19.9
0.57834,20.0,3.97,0.575,8.297,67.0,2.4216,5.0,264.0,384.54,7.44,13.0,50.0
41.5292,0.0,18.1,0.693,5.531,85.4,1.6074,24.0,666.0,329.46,27.38,20.2,8.5
0.65665,20.0,3.97,0.647,6.842,100.0,2.0107,5.0,264.0,391.93,6.9,13.0,30.1
5.70818,0.0,18.1,0.532,6.75,74.9,3.3317,24.0,666.0,393.07,7.74,20.2,23.7
0.67191,0.0,8.14,0.538,5.813,90.3,4.682,4.0,307.0,376.88,14.81,21.0,16.6
0.04932,33.0,2.18,0.472,6.849,70.3,3.1827,7.0,222.0,396.9,7.53,18.4,28.2
0.09178,0.0,4.05,0.51,6.416,84.1,2.6463,5.0,296.0,395.5,9.04,16.6,23.6
3.83684,0.0,18.1,0.77,6.251,91.1,2.2955,24.0,666.0,350.65,14.19,20.2,19.9
0.06127,40.0,6.41,0.447,6.826,27.6,4.8628,4.0,254.0,393.45,4.16,17.6,33.1
4.81213,0.0,18.1,0.713,6.701,90.0,2.5975,24.0,666.0,255.23,16.42,20.2,16.4
0.7857,20.0,3.97,0.647,7.014,84.6,2.1329,5.0,264.0,384.07,14.79,13.0,30.7
4.34879,0.0,18.1,0.58,6.167,84.0,3.0334,24.0,666.0,396.9,16.29,20.2,19.9
0.02009,95.0,2.68,0.4161,8.034,31.9,5.118,4.0,224.0,390.55,2.88,14.7,50.0
0.19657,22.0,5.86,0.431,6.226,79.2,8.0555,7.0,330.0,376.14,10.15,19.1,20.5
15.8744,0.0,18.1,0.671,6.545,99.1,1.5192,24.0,666.0,396.9,21.08,20.2,10.9
5.82115,0.0,18.1,0.713,6.513,89.9,2.8016,24.0,666.0,393.82,10.29,20.2,20.2
0.14476,0.0,10.01,0.547,5.731,65.2,2.7592,6.0,432.0,391.5,13.61,17.8,19.3
8.24809,0.0,18.1,0.713,7.393,99.3,2.4527,24.0,666.0,375.87,16.74,20.2,17.8
0.55007,20.0,3.97,0.647,7.206,91.6,1.9301,5.0,264.0,387.89,8.1,13.0,36.5
24.3938,0.0,18.1,0.7,4.652,100.0,1.4672,24.0,666.0,396.9,28.28,20.2,10.5
0.10328,25.0,5.13,0.453,5.927,47.2,6.932,8.0,284.0,396.9,9.22,19.7,19.6
0.18836,0.0,6.91,0.448,5.786,33.3,5.1004,3.0,233.0,396.9,14.15,17.9,20.0
0.2896,0.0,9.69,0.585,5.39,72.9,2.7986,6.0,391.0,396.9,21.14,19.2,19.7
0.40202,0.0,9.9,0.544,6.382,67.2,3.5325,4.0,304.0,395.21,10.36,18.4,23.1
0.25356,0.0,9.9,0.544,5.705,77.7,3.945,4.0,304.0,396.42,11.5,18.4,16.2
0.08826,0.0,10.81,0.413,6.417,6.6,5.2873,4.0,305.0,383.73,6.72,19.2,24.2
0.02055,85.0,0.74,0.41,6.383,35.7,9.1876,2.0,313.0,396.9,5.77,17.3,24.7
0.02187,60.0,2.93,0.401,6.8,9.9,6.2196,1.0,265.0,393.37,5.03,15.6,31.1
0.05561,70.0,2.24,0.4,7.041,10.0,7.8278,5.0,358.0,371.58,4.74,14.8,29.0
2.73397,0.0,19.58,0.871,5.597,94.9,1.5257,5.0,403.0,351.85,21.45,14.7,15.4
9.59571,0.0,18.1,0.693,6.404,100.0,1.639,24.0,666.0,376.11,20.31,20.2,12.1
0.66351,20.0,3.97,0.647,7.333,100.0,1.8946,5.0,264.0,383.29,7.79,13.0,36.0
0.11425,0.0,13.89,0.55,6.373,92.4,3.3633,5.0,276.0,393.74,10.5,16.4,23.0
0.01501,80.0,2.01,0.435,6.635,29.7,8.344,4.0,280.0,390.94,5.99,17.0,24.5
13.5222,0.0,18.1,0.631,3.863,100.0,1.5106,24.0,666.0,131.42,13.33,20.2,23.1
15.1772,0.0,18.1,0.74,6.152,100.0,1.9142,24.0,666.0,9.32,26.45,20.2,8.7
0.02985,0.0,2.18,0.458,6.43,58.7,6.0622,3.0,222.0,394.12,5.21,18.7,28.7
13.9134,0.0,18.1,0.713,6.208,95.0,2.2222,24.0,666.0,100.63,15.17,20.2,11.7
0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,5.0,311.0,395.6,12.43,15.2,22.9
0.06263,0.0,11.93,0.573,6.593,69.1,2.4786,1.0,273.0,391.99,9.67,21.0,22.4
0.06911,45.0,3.44,0.437,6.739,30.8,6.4798,5.0,398.0,389.71,4.69,15.2,30.5
13.3598,0.0,18.1,0.693,5.887,94.7,1.7821,24.0,666.0,396.9,16.35,20.2,12.7
4.55587,0.0,18.1,0.718,3.561,87.9,1.6132,24.0,666.0,354.7,7.12,20.2,27.5
0.1,34.0,6.09,0.433,6.982,17.7,5.4917,7.0,329.0,390.43,4.86,16.1,33.1
10.0623,0.0,18.1,0.584,6.833,94.3,2.0882,24.0,666.0,81.33,19.69,20.2,14.1
0.14231,0.0,10.01,0.547,6.254,84.2,2.2565,6.0,432.0,388.74,10.45,17.8,18.5
0.0315,95.0,1.47,0.403,6.975,15.3,7.6534,3.0,402.0,396.9,4.56,17.0,34.9
0.15876,0.0,10.81,0.413,5.961,17.5,5.2873,4.0,305.0,376.94,9.88,19.2,21.7
0.38735,0.0,25.65,0.581,5.613,95.6,1.7572,2.0,188.0,359.29,27.26,19.1,15.7
20.7162,0.0,18.1,0.659,4.138,100.0,1.1781,24.0,666.0,370.22,23.34,20.2,11.9
0.06899,0.0,25.65,0.581,5.87,69.7,2.2577,2.0,188.0,389.15,14.37,19.1,22.0
0.33147,0.0,6.2,0.507,8.247,70.4,3.6519,8.0,307.0,378.95,3.95,17.4,48.3
5.09017,0.0,18.1,0.713,6.297,91.8,2.3682,24.0,666.0,385.09,17.27,20.2,16.1
51.1358,0.0,18.1,0.597,5.757,100.0,1.413,24.0,666.0,2.6,10.11,20.2,15.0
0.7258,0.0,8.14,0.538,5.727,69.5,3.7965,4.0,307.0,390.95,11.28,21.0,18.2
0.04203,28.0,15.04,0.464,6.442,53.6,3.6659,4.0,270.0,395.01,8.16,18.2,22.9
0.0136,75.0,4.0,0.41,5.888,47.6,7.3197,3.0,469.0,396.9,14.8,21.1,18.9
6.96215,0.0,18.1,0.7,5.713,97.0,1.9265,24.0,666.0,394.43,17.11,20.2,15.1
7.75223,0.0,18.1,0.713,6.301,83.7,2.7831,24.0,666.0,272.21,16.23,20.2,14.9
0.2498,0.0,21.89,0.624,5.857,98.2,1.6686,4.0,437.0,392.04,21.32,21.2,13.3
0.54452,0.0,21.89,0.624,6.151,97.9,1.6687,4.0,437.0,396.9,18.46,21.2,17.8
7.67202,0.0,18.1,0.693,5.747,98.9,1.6334,24.0,666.0,393.1,19.92,20.2,8.5
0.28392,0.0,7.38,0.493,5.708,74.3,4.7211,5.0,287.0,391.13,11.74,19.6,18.5
1.34284,0.0,19.58,0.605,6.066,100.0,1.7573,5.0,403.0,353.89,6.43,14.7,24.3
0.01439,60.0,2.93,0.401,6.604,18.8,6.2196,1.0,265.0,376.7,4.38,15.6,29.1
1.35472,0.0,8.14,0.538,6.072,100.0,4.175,4.0,307.0,376.73,13.04,21.0,14.5
0.13058,0.0,10.01,0.547,5.872,73.1,2.4775,6.0,432.0,338.63,15.37,17.8,20.4
0.0456,0.0,13.89,0.55,5.888,56.0,3.1121,5.0,276.0,392.8,13.51,16.4,23.3
0.25387,0.0,6.91,0.448,5.399,95.3,5.87,3.0,233.0,396.9,30.81,17.9,14.4
0.00632,18.0,2.31,0.538,6.575,65.2,4.09,1.0,296.0,396.9,4.98,15.3,24.0
0.0459,52.5,5.32,0.405,6.315,45.6,7.3172,6.0,293.0,396.9,7.6,16.6,22.3
0.23912,0.0,9.69,0.585,6.019,65.3,2.4091,6.0,391.0,396.9,12.92,19.2,21.2
2.37934,0.0,19.58,0.871,6.13,100.0,1.4191,5.0,403.0,172.91,27.8,14.7,13.8
0.0686,0.0,2.89,0.445,7.416,62.5,3.4952,2.0,276.0,396.9,6.19,18.0,33.2
0.10659,80.0,1.91,0.413,5.936,19.5,10.5857,4.0,334.0,376.04,5.57,22.0,20.6
0.6147,0.0,6.2,0.507,6.618,80.8,3.2721,8.0,307.0,396.9,7.6,17.4,30.1
0.17505,0.0,5.96,0.499,5.966,30.2,3.8473,5.0,279.0,393.43,10.13,19.2,24.7
15.8603,0.0,18.1,0.679,5.896,95.4,1.9096,24.0,666.0,7.68,24.39,20.2,8.3
